"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20","gene 21","gene 22","gene 23","gene 24","gene 25","gene 26","gene 27","gene 28","gene 29","gene 30","gene 31","gene 32","gene 33","gene 34","gene 35","gene 36","gene 37","gene 38","gene 39","gene 40","gene 41","gene 42","gene 43","gene 44","gene 45","gene 46","gene 47","gene 48","gene 49","gene 50","gene 51","gene 52","gene 53","gene 54","gene 55","gene 56","gene 57","gene 58","gene 59","gene 60","gene 61","gene 62","gene 63","gene 64","gene 65","gene 66","gene 67","gene 68","gene 69","gene 70","gene 71","gene 72","gene 73","gene 74","gene 75","gene 76","gene 77","gene 78","gene 79","gene 80","gene 81","gene 82","gene 83","gene 84","gene 85","gene 86","gene 87","gene 88","gene 89","gene 90","gene 91","gene 92","gene 93","gene 94","gene 95","gene 96","gene 97","gene 98","gene 99","gene 100"
"spot 807",0,20,13,29,15,0,13,0,21,0,0,0,0,6,0,15,0,13,23,19,25,0,0,0,19,0,12,4,7,17,20,0,12,9,6,4,7,13,37,18,16,18,20,26,7,0,18,0,0,18,0,0,12,0,29,25,6,11,0,0,0,0,0,0,7,15,6,0,25,0,0,8,30,18,0,12,0,7,0,4,0,15,17,10,23,0,0,8,11,0,0,0,27,25,0,14,0,8,7,11
"spot 808",19,27,8,21,18,0,19,0,27,17,0,13,0,5,0,12,8,38,18,0,11,0,0,0,20,0,9,7,7,8,20,13,11,13,10,8,12,0,17,0,12,0,0,0,0,0,0,18,0,0,10,0,0,0,0,35,6,9,26,11,0,0,16,8,0,15,0,0,15,0,0,12,20,17,0,21,15,0,19,12,13,8,17,3,10,0,36,0,0,9,0,24,22,0,26,11,0,9,8,12
"spot 809",0,18,11,0,13,12,0,13,26,18,16,25,13,0,0,18,14,19,19,0,24,17,19,10,0,22,11,6,9,28,0,17,21,0,0,21,13,0,47,33,0,13,45,21,10,10,20,0,0,15,11,11,19,0,0,61,0,19,24,14,0,18,0,13,13,17,4,42,18,91,23,15,15,12,11,31,0,14,19,11,12,11,0,12,25,19,26,14,23,0,15,22,0,0,0,15,6,7,8,16
"spot 810",12,0,0,43,21,11,23,0,28,19,0,0,7,0,23,8,0,0,0,8,19,17,9,0,16,13,10,0,7,17,39,9,0,0,5,10,14,5,19,0,15,11,0,0,10,6,14,31,9,15,0,0,11,14,27,40,0,0,18,15,36,0,17,18,0,14,6,0,28,27,0,7,14,0,5,7,15,15,12,3,7,12,13,0,23,0,17,0,13,18,13,0,19,0,23,0,0,10,4,7
"spot 811",0,18,10,20,27,23,0,8,0,10,0,15,6,0,0,15,0,0,22,8,20,0,0,4,0,3,0,0,0,0,16,0,19,0,1,0,9,23,25,0,6,7,21,27,6,9,11,22,12,19,8,8,18,0,20,31,5,0,20,9,25,0,26,17,10,19,6,22,13,54,0,0,0,0,5,0,8,0,12,12,2,0,0,2,20,0,12,10,10,17,6,0,28,15,0,11,7,8,10,10
"spot 812",23,0,21,61,0,15,38,37,32,0,23,12,18,2,13,18,10,23,21,21,21,17,16,3,5,17,14,4,8,21,49,11,0,14,9,12,0,0,0,11,0,11,16,16,0,0,10,20,21,19,23,4,0,7,0,54,0,16,0,0,51,14,0,17,0,11,0,31,0,29,19,0,13,10,0,0,7,17,0,15,0,10,27,5,11,22,37,0,9,21,8,36,0,17,15,25,0,12,3,0
"spot 813",22,24,12,37,29,0,0,40,49,0,30,16,6,1,0,0,8,31,0,0,10,15,10,0,0,0,0,0,7,0,31,0,18,14,8,10,6,17,18,11,13,5,20,25,0,17,0,0,0,13,0,0,15,0,17,30,0,0,16,7,43,0,14,0,8,18,6,55,8,0,11,14,19,11,13,11,11,0,0,0,0,8,24,8,24,0,27,0,0,8,6,16,16,26,0,17,4,8,4,17
"spot 814",25,25,22,48,0,7,26,36,0,27,17,8,8,0,22,0,10,17,14,0,22,0,14,2,0,0,6,1,7,24,0,0,21,0,0,11,0,3,25,0,12,0,16,16,0,12,0,14,6,28,13,6,0,6,22,12,11,6,19,5,0,0,13,12,7,17,1,0,15,51,22,11,22,0,8,6,12,14,16,5,9,0,15,5,34,0,21,13,23,15,14,0,23,18,0,21,9,6,13,3
"spot 815",0,0,5,76,37,25,0,26,47,16,0,8,16,0,0,1,11,18,0,21,0,18,18,1,29,15,0,0,21,0,31,9,0,16,14,3,11,0,29,18,16,0,21,27,12,12,18,19,0,22,0,0,0,3,18,38,0,4,17,0,0,0,25,0,0,12,6,0,0,38,15,24,0,11,4,20,0,0,10,7,16,15,0,0,21,0,0,0,16,12,8,32,37,0,37,28,6,0,4,16
"spot 816",9,21,11,57,53,6,30,27,14,0,0,16,18,0,30,10,0,14,0,23,13,0,0,0,12,0,0,14,0,20,12,14,13,9,14,7,18,6,23,11,9,7,10,15,8,0,14,12,8,21,17,7,22,2,0,25,6,0,0,14,30,12,0,9,9,3,0,0,14,42,10,0,19,7,9,9,10,0,0,7,12,6,25,5,0,19,16,0,11,21,0,0,17,15,45,8,7,7,1,4
"spot 817",26,26,11,60,19,13,37,0,48,34,15,16,0,8,19,15,14,28,0,13,21,0,12,7,0,15,0,7,8,15,26,10,14,0,0,11,10,6,16,0,0,10,16,13,0,9,11,31,11,14,14,0,20,9,18,0,6,0,0,4,32,4,0,6,6,18,5,0,15,0,26,0,16,7,6,6,14,17,15,0,8,10,19,2,9,0,24,11,0,0,11,0,40,22,26,24,7,13,8,8
"spot 818",23,29,16,54,0,0,32,29,22,20,0,9,13,1,11,9,13,0,0,12,18,0,0,0,7,10,11,2,7,14,24,12,0,9,5,11,0,0,24,16,15,6,14,0,10,5,5,16,6,9,0,7,12,4,23,0,10,8,8,4,33,7,0,10,6,0,1,17,0,23,0,0,16,2,0,15,16,18,0,5,2,5,27,4,0,12,0,7,7,0,10,16,9,18,0,0,3,9,0,3
"spot 819",26,0,10,65,44,25,50,0,0,0,10,0,0,5,0,6,10,12,0,0,24,9,8,6,13,10,3,4,5,0,22,0,0,16,0,17,7,8,10,13,0,12,0,12,0,4,5,16,8,0,8,5,21,7,13,0,10,0,15,8,22,10,10,15,5,15,3,16,0,40,6,5,11,0,4,0,9,9,8,0,8,6,19,5,10,0,19,3,0,12,0,0,0,7,28,0,8,5,0,6
"spot 820",49,0,29,71,39,24,51,0,58,23,17,0,9,3,10,0,0,15,0,0,0,15,20,0,0,7,13,0,11,16,31,9,16,7,0,10,0,5,0,23,0,14,0,0,4,0,0,19,5,0,0,15,23,6,0,21,9,0,11,14,44,6,23,0,7,11,0,0,0,15,13,4,0,6,3,8,21,14,0,3,0,0,0,0,0,0,23,0,12,8,11,10,0,22,0,0,0,0,3,9
"spot 821",15,41,15,83,0,0,37,59,49,0,11,15,5,0,13,0,6,16,13,9,0,12,15,5,0,6,15,7,8,14,0,10,17,9,2,6,11,9,21,5,14,6,12,17,0,4,16,13,0,0,0,8,0,0,0,0,8,6,12,8,32,10,0,0,13,12,6,0,14,34,10,6,8,0,6,0,0,7,7,10,6,9,9,5,13,0,0,7,8,3,13,0,23,6,10,25,4,4,0,0
"spot 822",18,0,16,0,34,22,24,64,59,33,21,24,10,1,16,19,2,0,20,11,33,20,11,0,18,12,0,0,9,0,22,6,0,12,4,18,0,17,0,21,8,11,10,12,0,6,18,0,6,0,12,8,0,0,0,0,6,2,0,0,31,11,15,8,0,0,4,0,0,0,0,0,16,2,5,12,12,23,10,0,11,8,19,6,0,16,0,17,12,0,14,0,17,15,16,10,8,0,5,10
"spot 823",0,50,18,154,55,0,33,53,80,31,18,8,7,4,0,12,11,15,16,7,0,0,0,5,15,13,17,0,11,8,0,0,0,6,4,0,6,10,16,23,3,0,0,14,6,4,0,12,0,0,11,0,14,0,9,21,13,3,8,0,34,2,16,7,7,15,0,21,0,13,11,8,10,3,3,6,4,8,0,10,2,5,23,2,10,0,0,10,0,0,13,19,0,9,0,17,0,5,9,0
"spot 824",25,23,0,0,21,18,49,51,33,40,5,15,9,2,0,0,6,17,6,0,7,0,0,0,0,16,9,3,0,0,0,0,0,11,4,9,10,0,6,10,0,7,15,11,4,0,7,0,12,15,0,6,0,5,0,12,7,1,11,0,28,4,0,0,0,12,0,14,8,26,0,6,10,0,6,11,4,0,3,0,6,0,24,0,8,9,16,0,0,0,6,0,27,9,14,0,2,6,0,1
"spot 825",0,0,13,54,0,0,0,54,40,0,27,0,5,0,23,3,2,0,11,0,0,10,11,2,8,11,13,0,4,13,12,11,11,0,0,7,3,7,14,16,0,0,9,8,0,4,11,7,2,11,6,0,15,0,14,26,5,0,8,9,18,0,6,9,2,12,4,28,9,0,12,0,7,6,3,9,5,0,7,8,0,5,0,0,13,6,12,0,14,17,3,12,17,4,23,9,4,4,6,9
"spot 826",0,0,37,167,121,52,49,0,0,56,0,0,0,5,17,13,3,21,0,0,17,0,0,5,11,0,7,0,0,0,0,10,11,15,5,7,13,7,27,26,0,11,26,0,3,5,0,10,6,10,14,9,3,0,26,25,4,6,11,18,0,0,5,0,0,15,3,10,4,27,0,10,15,8,0,0,0,11,11,0,7,0,23,4,10,14,20,5,16,3,5,16,0,19,0,18,2,12,5,5
"spot 827",30,50,43,85,90,41,64,112,123,43,9,18,5,0,9,12,8,11,9,0,20,0,11,0,0,9,0,0,11,19,27,0,6,7,8,10,10,11,10,16,8,15,5,7,0,10,0,0,7,11,0,0,0,7,14,26,7,8,0,5,28,12,13,8,9,3,1,8,8,30,10,0,15,0,3,7,0,0,11,14,7,0,0,6,8,7,13,7,15,0,7,25,17,18,0,10,0,0,0,5
"spot 828",31,32,34,71,60,21,31,34,65,27,15,7,0,1,17,5,0,19,0,4,0,13,8,1,7,8,5,0,4,0,12,3,0,6,2,9,3,3,7,0,3,9,0,12,1,4,7,8,3,0,5,2,8,0,0,12,1,0,8,0,17,0,4,7,2,0,0,27,7,22,0,0,0,0,7,7,5,0,4,3,8,0,8,0,10,0,0,5,5,0,4,0,13,14,9,0,4,3,7,0
"spot 829",0,31,46,89,84,20,0,86,54,46,17,2,3,4,13,5,8,8,0,9,9,0,8,2,10,0,0,4,4,7,13,6,14,0,1,0,0,9,0,0,0,4,3,7,0,2,0,0,3,0,5,0,6,6,14,11,10,0,8,6,20,3,9,0,0,2,3,24,5,16,5,2,7,5,4,9,0,7,6,0,0,7,0,1,6,9,0,4,9,11,4,18,0,8,21,7,0,2,4,6
"spot 830",0,97,102,178,0,45,133,203,109,107,0,10,0,5,37,8,15,46,0,20,22,0,14,0,0,15,12,7,12,21,0,14,7,16,9,16,20,18,35,28,14,12,20,19,12,0,18,21,19,18,15,7,19,0,0,31,20,0,22,22,51,12,0,16,0,0,3,29,16,0,25,10,16,0,15,21,5,8,13,11,0,0,0,9,0,0,0,15,30,8,15,34,22,0,43,25,9,0,0,0
"spot 831",0,110,42,279,127,46,125,0,0,45,0,12,7,1,18,12,17,0,0,0,15,25,9,0,12,0,7,0,12,26,0,15,0,9,0,20,9,0,26,9,6,9,23,10,16,9,24,12,6,0,0,7,14,7,19,23,0,8,11,9,0,0,8,0,3,0,7,0,5,35,0,14,0,0,7,12,0,9,8,7,12,10,27,0,15,0,30,0,6,19,10,16,27,15,29,26,0,0,5,0
"spot 832",64,83,93,115,0,62,111,0,128,0,28,0,7,2,20,0,9,0,5,17,4,0,0,0,24,10,0,10,6,12,22,7,11,0,0,11,17,15,0,0,8,8,9,16,8,3,9,11,12,0,13,9,6,4,32,0,14,6,0,3,0,7,9,0,4,13,4,12,5,0,0,5,19,0,4,0,8,7,0,4,3,0,24,0,10,6,17,0,8,9,5,15,0,24,11,16,2,0,1,10
"spot 833",0,0,9,12,9,6,0,10,0,4,0,0,0,8,0,21,29,0,12,13,0,19,10,0,21,13,11,5,16,0,0,11,21,18,11,7,10,18,0,0,21,9,29,0,7,8,8,0,13,25,0,12,30,0,29,48,9,9,16,8,51,15,25,0,4,0,0,25,15,52,12,0,0,16,4,15,11,25,14,0,21,14,37,0,29,14,0,16,0,13,0,0,0,25,0,0,9,0,5,0
"spot 834",7,19,15,43,0,11,15,25,17,0,68,35,0,5,21,8,0,0,24,23,30,25,0,6,20,15,0,12,18,19,37,20,19,0,14,16,0,25,7,17,0,24,42,16,0,17,36,0,29,31,25,27,32,11,0,49,20,0,21,20,0,0,8,17,0,0,0,41,26,0,33,17,33,19,13,33,15,14,12,12,19,18,45,9,0,30,46,0,20,30,8,37,59,35,0,0,7,25,0,0
"spot 835",9,9,0,17,0,0,19,0,14,7,0,0,8,6,21,15,12,26,20,0,36,32,19,10,17,0,0,0,8,0,22,16,19,11,7,4,14,12,0,17,13,18,26,19,18,7,10,26,21,25,27,0,0,0,40,34,17,14,25,7,52,13,21,12,11,0,4,43,12,0,15,12,10,8,13,27,0,0,0,11,0,0,38,0,14,10,28,18,0,34,0,24,16,33,36,0,16,12,0,12
"spot 836",15,8,2,0,0,4,0,0,0,0,0,12,8,7,29,6,0,29,16,0,47,10,0,9,19,10,8,6,8,18,36,13,0,9,0,14,11,9,0,16,13,8,20,0,12,12,0,0,15,0,17,13,0,0,24,31,6,8,20,8,0,12,0,7,15,14,7,40,0,59,0,11,0,7,7,8,14,4,9,0,3,12,30,8,17,11,0,11,17,0,0,18,29,10,0,24,5,10,0,12
"spot 837",0,0,4,0,0,2,11,15,23,3,9,0,0,0,16,6,11,0,12,10,15,15,10,3,9,0,4,18,4,8,23,10,10,7,0,5,0,0,0,19,0,8,12,0,5,2,7,15,0,0,0,0,9,0,29,34,11,7,0,7,37,0,21,10,0,12,10,19,12,32,9,6,18,5,8,0,5,0,6,10,11,4,9,3,14,0,14,7,11,4,7,7,8,13,21,14,8,11,5,12
"spot 838",12,0,11,27,13,5,13,13,18,0,40,13,13,4,28,26,0,17,0,0,28,0,19,2,22,23,22,0,0,20,33,0,19,7,5,13,13,0,24,22,15,11,28,0,16,14,19,18,15,16,24,22,22,0,19,0,9,2,18,16,33,13,32,4,0,19,5,41,0,0,10,21,30,16,10,10,12,7,16,13,11,13,0,5,29,24,31,21,14,30,16,19,18,0,30,58,0,4,0,28
"spot 839",5,14,2,0,14,11,30,9,11,0,24,8,1,2,0,5,0,9,16,0,0,16,11,3,0,0,8,6,5,0,7,9,8,9,10,0,10,12,8,0,10,0,0,0,6,3,16,12,0,16,37,7,22,8,34,35,13,5,12,0,0,9,12,5,2,14,1,19,8,28,15,3,0,0,0,6,0,0,5,9,3,9,12,7,16,6,19,9,17,17,7,0,19,22,35,0,9,0,0,0
"spot 840",14,10,0,60,0,0,15,25,19,17,0,8,8,6,43,0,11,0,31,0,20,25,10,0,14,6,24,0,9,22,0,16,0,0,0,11,13,0,25,31,9,15,0,10,20,0,0,29,16,24,18,12,0,8,41,0,0,17,31,19,71,11,28,0,11,13,5,46,13,39,0,12,0,11,10,0,11,19,0,15,0,0,23,5,0,27,38,8,19,29,6,0,32,17,27,24,8,0,8,11
"spot 841",4,0,9,51,21,15,0,24,17,19,36,0,5,2,0,12,7,12,33,0,0,0,14,11,0,16,23,8,11,14,14,10,19,16,0,10,0,0,17,14,16,18,11,19,11,10,25,0,0,0,0,0,17,0,23,0,0,5,23,0,0,10,15,0,8,0,6,29,14,0,11,10,0,0,0,8,0,9,13,16,9,5,21,4,0,12,0,13,23,10,15,0,18,0,29,21,8,0,10,14
"spot 842",0,30,11,72,27,21,0,31,29,14,21,14,12,3,0,0,25,0,23,23,22,23,20,6,29,20,17,0,16,14,31,11,0,0,0,0,0,15,23,0,6,6,23,28,11,5,26,13,16,0,0,0,15,7,24,79,0,12,0,0,0,25,17,27,14,21,5,31,24,25,26,0,41,18,0,0,11,18,17,13,0,13,60,0,24,15,22,19,24,17,14,29,40,0,0,16,0,13,14,9
"spot 843",20,0,14,57,46,17,0,0,32,0,36,16,15,9,21,17,15,23,32,16,0,35,10,0,17,15,5,0,0,27,38,13,29,0,14,11,24,14,34,0,0,8,25,0,12,0,29,25,16,43,11,10,21,0,30,0,0,9,0,19,43,13,34,21,7,22,0,0,0,0,16,19,29,15,9,0,9,23,0,0,9,12,24,10,14,0,26,0,0,17,11,32,0,21,29,0,4,19,11,17
"spot 844",0,13,19,40,29,16,0,27,21,0,36,12,0,0,6,20,10,0,0,26,0,15,0,4,15,19,0,3,17,14,34,0,0,10,4,0,0,11,11,17,0,17,0,13,7,0,15,25,18,20,0,6,0,8,35,0,0,10,17,23,0,0,16,10,18,0,9,0,27,39,18,6,0,4,0,0,6,0,24,7,6,0,18,4,21,26,29,12,10,12,6,0,23,0,26,13,0,6,0,0
"spot 845",0,41,8,37,32,0,29,60,0,0,35,13,0,4,0,0,0,18,19,0,14,21,9,4,19,12,9,5,3,16,10,6,0,15,0,7,14,14,26,23,12,17,8,18,11,0,10,14,0,14,0,7,0,0,36,20,0,5,25,0,0,12,12,0,19,0,6,29,0,49,0,10,15,0,10,14,21,14,0,16,6,0,0,5,20,15,17,6,14,0,29,22,21,19,26,17,0,0,7,12
"spot 846",15,35,14,36,33,11,38,33,0,0,0,20,0,3,33,4,0,19,7,14,0,14,22,7,0,9,9,0,5,14,0,24,21,0,10,11,0,19,0,18,0,10,11,14,0,0,0,27,5,0,16,11,13,3,14,40,0,1,10,11,37,14,10,13,0,27,3,0,17,31,14,8,12,3,5,0,12,12,14,10,0,0,13,6,9,0,16,10,20,11,0,13,19,18,54,20,0,10,1,4
"spot 847",23,23,19,39,0,17,0,0,0,10,28,12,10,2,0,0,0,19,20,0,10,31,8,7,0,12,6,5,0,13,0,13,17,7,0,6,7,9,0,18,7,3,19,15,7,6,13,0,17,23,0,0,0,5,11,0,0,3,12,10,0,0,9,8,0,8,10,16,12,24,0,9,14,0,7,8,0,0,12,0,0,16,14,4,11,7,12,6,12,13,12,27,0,14,20,11,0,0,7,0
"spot 848",14,35,19,0,0,0,31,73,18,41,15,10,7,4,16,0,0,9,0,0,14,0,0,0,14,18,0,2,11,0,25,7,16,18,8,0,12,11,28,0,14,10,0,19,0,0,30,19,7,35,0,11,0,0,16,38,10,6,0,9,0,7,0,12,5,0,4,34,0,31,12,5,20,5,4,11,16,10,0,10,0,13,0,7,13,4,28,13,27,10,9,16,0,0,25,27,6,6,4,10
"spot 849",0,0,27,105,57,23,37,78,46,30,26,0,0,0,20,25,9,49,9,30,35,0,19,0,11,12,13,5,5,20,0,13,14,14,9,0,10,15,21,0,12,11,21,0,0,4,19,12,0,0,0,14,17,4,68,0,11,7,0,18,25,22,21,0,4,25,8,0,0,58,0,7,21,8,7,16,11,0,0,15,10,10,19,5,0,22,0,18,9,0,21,27,0,0,42,26,13,8,9,12
"spot 850",23,17,8,24,0,12,0,23,0,14,0,0,2,2,13,13,10,11,16,12,0,0,5,0,11,4,11,0,8,4,15,2,1,7,0,0,0,3,10,10,0,4,13,10,5,5,13,7,0,0,0,6,14,0,7,22,0,0,0,0,27,0,8,11,2,12,2,15,0,30,0,0,4,4,0,0,0,4,5,3,0,9,11,0,8,0,8,2,11,9,0,9,14,5,0,9,2,3,0,4
"spot 851",15,26,8,51,23,22,27,41,26,0,0,2,6,2,12,6,12,5,2,0,18,0,5,5,16,8,0,0,5,8,6,0,4,10,6,4,4,4,0,3,6,4,8,3,9,7,13,9,0,12,7,1,6,0,14,9,8,9,8,0,22,11,9,6,0,0,0,9,0,7,0,6,9,9,0,0,4,2,6,7,4,0,11,0,8,11,0,4,0,11,5,20,0,11,0,0,0,1,5,4
"spot 852",0,0,0,0,0,0,28,41,39,25,15,9,0,6,7,4,6,17,0,15,11,7,10,1,0,8,4,5,4,0,6,0,7,13,2,2,3,9,0,0,5,10,4,6,1,7,0,11,0,3,6,10,9,3,0,0,0,5,0,6,0,0,8,9,0,6,0,0,5,20,0,3,12,2,3,3,5,0,13,3,0,0,0,4,0,8,17,7,0,8,5,0,13,13,22,0,7,6,5,3
"spot 853",18,25,15,34,21,5,51,31,0,0,11,0,0,0,3,0,8,13,6,0,17,0,0,0,6,8,0,4,4,14,15,0,0,5,0,0,0,0,10,9,4,4,11,10,0,0,6,8,0,14,10,0,0,0,19,20,2,3,7,6,24,2,8,5,1,10,1,13,8,20,9,4,0,9,3,0,4,6,5,4,3,4,0,0,5,5,0,0,7,6,3,9,6,10,6,7,0,2,0,5
"spot 854",29,38,0,110,28,28,64,0,0,21,20,5,0,0,13,22,0,19,21,0,17,12,3,1,16,0,7,5,9,10,30,0,0,0,5,8,10,14,0,12,8,0,11,0,7,0,0,15,11,14,0,0,7,10,15,25,8,0,10,0,40,0,8,0,6,0,3,24,16,48,16,0,0,10,4,6,20,1,12,6,8,5,11,4,0,6,13,8,9,20,0,0,18,9,31,8,3,0,0,9
"spot 855",30,28,32,50,30,21,47,0,58,37,0,12,8,0,0,0,7,9,0,13,0,4,0,4,1,5,7,6,0,14,0,8,14,5,8,1,0,0,0,10,3,0,7,4,0,8,9,13,0,0,0,0,10,0,18,18,1,0,8,6,19,0,12,4,5,0,2,25,7,0,0,4,13,0,4,0,10,4,12,0,1,8,8,0,0,0,5,13,5,6,6,15,10,6,13,0,0,0,2,4
"spot 856",0,0,27,125,60,0,33,0,0,29,23,8,0,0,16,7,6,19,12,16,10,0,0,5,16,0,10,7,5,0,0,4,0,10,5,0,0,8,0,0,12,4,6,0,13,11,0,8,0,0,8,7,12,0,8,18,6,8,5,7,21,8,6,4,5,12,0,19,8,31,9,7,0,5,7,12,7,8,8,14,2,5,0,4,5,11,14,6,7,9,6,14,0,13,25,14,0,5,7,0
"spot 857",30,33,33,150,35,39,54,68,0,43,15,10,4,1,15,13,9,19,11,11,21,0,14,5,22,0,11,2,0,0,25,11,0,0,6,8,0,9,12,11,7,15,0,0,5,3,0,17,0,14,9,5,9,0,0,27,5,4,3,9,31,8,10,7,0,5,5,13,5,0,14,8,0,12,4,14,9,0,11,7,0,9,5,5,12,0,21,0,0,0,12,11,17,20,17,16,6,3,5,0
"spot 858",0,46,0,169,49,0,81,64,72,40,23,18,7,3,19,4,11,0,0,9,21,13,0,4,0,0,12,5,5,0,16,5,0,0,3,0,9,12,14,12,6,0,0,0,3,11,9,17,11,32,0,6,12,0,0,20,9,7,11,13,38,7,14,15,1,12,0,24,18,61,0,7,20,0,4,17,2,14,0,4,3,5,0,0,23,0,0,13,9,7,6,28,0,13,19,22,8,0,9,1
"spot 859",39,50,44,97,63,39,89,0,120,57,0,15,0,0,18,0,7,0,0,22,18,13,5,0,6,13,0,5,0,7,0,1,7,4,2,8,12,2,7,4,0,11,0,0,7,2,9,0,9,20,14,4,0,0,17,0,10,7,13,14,23,0,0,0,5,21,2,23,7,19,3,5,0,7,3,9,4,12,0,5,10,21,0,0,9,0,0,0,4,14,11,40,0,10,20,10,0,0,0,9
"spot 860",0,61,44,169,0,0,80,48,92,82,14,13,0,0,0,11,0,11,18,23,0,20,17,3,0,0,7,2,0,0,0,9,0,11,10,8,5,11,19,0,6,18,10,14,7,0,0,0,0,11,7,6,4,10,15,0,9,5,4,0,0,11,0,0,3,12,0,20,0,26,10,0,18,7,0,7,0,0,0,0,7,8,0,1,0,0,17,5,0,7,5,29,14,12,30,0,4,3,6,6
"spot 861",62,189,0,0,123,92,96,0,164,0,33,0,11,0,0,0,10,40,26,25,0,34,20,0,20,9,6,4,6,0,0,0,13,13,0,0,7,12,40,0,13,17,0,20,0,17,15,0,0,21,0,8,12,11,34,31,16,0,28,13,46,8,11,0,13,15,0,30,8,0,25,12,26,0,0,17,16,14,11,8,12,0,18,0,21,0,36,18,27,11,20,8,18,0,30,17,2,10,8,0
"spot 862",0,92,121,0,117,67,100,0,183,127,19,21,10,2,51,0,0,21,15,10,16,16,10,5,18,0,11,10,11,10,40,12,14,0,6,10,0,6,40,20,5,8,11,0,9,10,23,0,0,0,0,6,0,0,0,32,13,6,13,12,43,13,16,18,0,0,0,43,12,33,19,16,16,7,7,0,12,0,0,12,6,10,0,6,0,6,29,13,0,16,0,24,17,0,28,24,7,0,0,14
"spot 863",0,64,0,158,82,33,92,0,54,34,0,0,3,0,0,0,4,15,17,8,6,10,9,0,0,8,0,1,4,0,17,9,11,2,4,5,5,3,0,8,0,0,17,6,2,0,7,3,7,0,0,0,0,0,0,18,5,2,6,7,0,7,0,6,0,10,0,19,0,27,8,3,4,0,4,0,4,4,4,5,8,1,18,0,9,14,0,7,9,10,8,25,0,0,0,10,9,0,3,7
"spot 864",52,78,0,0,52,0,0,65,0,26,24,8,3,0,13,3,0,15,0,7,8,14,0,2,10,2,12,5,0,0,13,8,9,5,4,0,6,6,11,9,0,6,4,7,5,0,0,14,0,5,0,0,0,6,15,13,7,2,11,0,16,8,0,0,8,12,0,0,11,19,1,2,0,4,4,10,6,7,3,2,4,2,16,0,0,11,5,8,0,1,10,0,12,9,7,7,3,1,3,6
"spot 865",0,16,0,18,13,10,14,22,0,2,0,0,0,4,0,11,24,0,14,0,0,8,24,6,13,16,16,17,0,10,42,9,0,24,13,0,19,15,0,28,22,10,22,0,16,0,11,19,21,0,0,0,13,15,0,82,2,11,24,13,0,20,27,19,10,19,6,34,14,62,0,12,42,0,11,0,14,0,6,14,11,16,0,10,28,11,23,13,15,0,24,31,17,35,55,0,16,7,7,0
"spot 866",10,0,6,32,10,14,0,10,8,0,33,0,10,3,13,5,0,30,19,13,33,36,17,0,25,23,15,5,0,0,31,16,0,16,8,9,15,8,0,25,0,14,0,0,5,8,16,0,13,21,20,0,14,0,19,22,18,0,34,0,69,11,0,16,10,15,0,35,0,51,0,5,21,17,6,24,7,7,15,5,10,14,24,16,23,0,24,13,16,0,0,17,44,0,0,15,10,14,0,20
"spot 867",0,3,6,23,0,6,9,12,20,0,19,14,13,1,0,19,0,32,19,22,0,35,0,0,23,15,2,0,10,22,21,13,16,0,7,5,0,19,26,23,12,0,0,11,0,6,10,0,0,19,17,0,0,0,14,0,8,0,11,21,0,0,0,7,14,15,0,27,12,59,0,6,0,11,5,6,0,13,8,6,17,9,29,10,0,0,31,0,21,9,5,27,13,22,37,15,0,13,0,9
"spot 868",0,8,0,21,11,0,17,11,0,0,21,12,8,2,33,10,9,14,13,6,26,0,9,0,19,6,5,2,0,0,0,9,10,0,3,7,11,10,25,13,3,0,16,5,11,0,16,10,26,0,30,5,15,0,0,23,8,9,11,8,35,0,14,26,4,0,0,34,8,27,8,0,0,10,5,13,9,0,0,6,0,5,0,5,7,9,17,14,16,11,10,19,19,16,29,8,0,21,4,0
"spot 869",4,0,0,28,24,11,20,24,0,0,39,26,0,4,16,17,17,17,20,14,0,20,18,0,22,0,0,0,11,0,16,0,0,7,7,0,16,0,29,0,12,13,43,12,12,0,19,0,18,25,0,10,21,7,34,55,15,16,0,0,0,13,24,14,0,20,0,0,0,0,20,6,17,4,8,8,0,10,12,0,0,12,17,13,20,14,0,10,0,13,12,0,0,0,0,0,16,11,9,0
"spot 870",10,0,10,21,8,0,12,19,15,16,34,14,11,5,0,7,0,0,26,19,14,0,0,7,18,14,0,1,15,15,19,0,9,5,2,13,14,6,24,14,16,0,13,14,5,5,13,10,0,18,0,4,10,0,19,0,0,10,15,0,0,0,8,5,12,0,5,14,5,24,16,0,11,0,7,7,16,0,0,12,7,7,30,5,0,14,23,13,0,0,0,0,0,15,21,11,0,8,6,0
"spot 871",0,12,0,0,0,7,18,11,0,0,34,19,10,0,0,0,7,17,0,12,0,32,0,3,0,0,8,0,11,20,19,0,0,9,5,0,12,7,13,28,4,10,31,18,13,8,8,17,12,31,20,12,14,7,33,16,16,1,0,0,47,11,21,18,4,5,1,0,16,45,17,0,21,5,0,19,3,0,11,0,10,0,33,0,23,11,15,0,0,9,0,30,24,10,21,21,10,0,6,0
